Amoxicillin + Clavulanic Acid , AMOCLAV
AMLODIPINE + ATENOLOL , AMLOVAS AT
AMLODIPINE + ATENOLOL , AMOCAL-AT
AMLODIPINE + ATENOLOL , AMOCAL-AT 5/25
AMLODIPINE + ATENOLOL , AMPIL Plus
AMLODIPINE + ATENOLOL , AMPRE-PIus
AMLODIPINE + ATENOLOL , AMPRE-Plus
AMLODIPINE + ATENOLOL , AMTINOL Plus
AMLODIPINE + ATENOLOL , ANGICAL-50
AMLODIPINE + ATENOLOL , ATEPINE
AMLODIPINE + ATENOLOL , ATEZEN Plus
AMLODIPINE + ATENOLOL , BETACAL
AMLODIPINE + ATENOLOL , BETANOL-A 25
AMLODIPINE + ATENOLOL , BETANOL-A 50
AMLODIPINE + ATENOLOL , BPNOL-Plus
AMLODIPINE + ATENOLOL , CALBETA
AMLODIPINE + ATENOLOL , CALCHEK Plus
AMLODIPINE + ATENOLOL , CALOCK Plus 25
AMLODIPINE + ATENOLOL , CALOCK Plus 50
AMLODIPINE + ATENOLOL , CALPIN Plus 25
AMLODIPINE + ATENOLOL , CALPIN Plus 50
AMLODIPINE + ATENOLOL , CAMLODIN PLUS 5/25
AMLODIPINE + ATENOLOL , CAMLODIN PLUS 5/50
AMLODIPINE + ATENOLOL , CARDIPIN Plus
AMLODIPINE + ATENOLOL , CARDOSIA Plus
AMLODIPINE + ATENOLOL , COMBICARD
AMLODIPINE + ATENOLOL , COMBICARD
AMLODIPINE + ATENOLOL , CV NOR-A
AMLODIPINE + ATENOLOL , DIPICARD-25
AMLODIPINE + ATENOLOL , DIPLOR Plus-25
AMLODIPINE + ATENOLOL , DIPLOR Plus-50
AMLODIPINE + ATENOLOL , EMLON Plus
AMLODIPINE + ATENOLOL , Fixocard 25
AMLODIPINE + ATENOLOL , Fixocard 50
AMLODIPINE + ATENOLOL , HIPRE Plus
AMLODIPINE + ATENOLOL , LOCARD Plus
AMLODIPINE + ATENOLOL , LODICARD
AMLODIPINE + ATENOLOL , LOPIN Plus
AMLODIPINE + ATENOLOL , PRISTIN-OL
AMLODIPINE + ATENOLOL , SIDOPLUS 25
AMLODIPINE + ATENOLOL , SIDOPLUS 50
AMLODIPINE + ATENOLOL , TENOCAB 25
AMLODIPINE + ATENOLOL , TENOCAB 50
AMLODIPINE + ATENOLOL , TENOPIN
AMLODIPINE + ATENOLOL , VASOPIN 50
AMLODIPINE + ATENOLOL , VASOPIN Plus
AMLODIPINE + ATENOLOL , VESOCAL Plus
ATOMOXETINE , SUEV 10
ATORVASTATIN , ANZITOR 10
ATORVASTATIN , ANZITOR 20
ATORVASTATIN , ANZITOR 40
ATORVASTATIN , ASTIN
ATORVASTATIN , ASTIVA
ATORVASTATIN , ATASIN
ATORVASTATIN , ATOLIP
ATORVASTATIN , ATORVAST
ATORVASTATIN , ATOVA 10
ATORVASTATIN , ATOVA 20
ATORVASTATIN , ATOVA 40
ATORVASTATIN , ATOVEX
ATORVASTATIN , ATOVIN
ATORVASTATIN , ATV
ATORVASTATIN , AVAS
ATORVASTATIN , AVASTATIN
ATORVASTATIN , AVOCARD
ATORVASTATIN , AZTOR
ATORVASTATIN , CLOLES-10
ATORVASTATIN , COLOSTAT
ATORVASTATIN , DIVASTIN
ATORVASTATIN , G-ATROVAST
ATORVASTATIN , LIPEX-10
ATORVASTATIN , LIPICON
ATORVASTATIN , LIPICUT
ATORVASTATIN , LIPIGENT
ATORVASTATIN , LIPINOR
ATORVASTATIN , LIPITIN
ATORVASTATIN , LIPLO
ATORVASTATIN , LIPOBI 10
ATORVASTATIN , LIPOSTAT
ATORVASTATIN , LIPOVAST
ATORVASTATIN , LIPTOR
ATORVASTATIN , LIVAS
ATORVASTATIN , LOCOL
ATORVASTATIN , ORVA
ATORVASTATIN , ORVATIN
ATORVASTATIN , STACOR
ATORVASTATIN , TAVEN
ATORVASTATIN , TCL-R
ATORVASTATIN , Tiginor 10
ATORVASTATIN , Tiginor 20
ATORVASTATIN , Tiginor 40
ATORVASTATIN , TORVAS
ATORVASTATIN , TROVA
ATORVASTATIN , VASS 10
ATORVASTATIN , VASS 20
ATORVASTATIN , VASS 40
ATORVASTATIN , VASTIN
ATORVASTATIN , XELITOR
ATORVASTATIN , XELPID 10
ATORVASTATIN , XELPID 20
ATORVASTATIN , XELPID 40
ATORVASTATIN , XEROVA
ATORVASTATIN , ZAPITOR
PROPRANOLOL , ADLOCK
PROPRANOLOL , BETACAP TR
PROPRANOLOL , G-PROPRANOLOL
PROPRANOLOL , INDEVER
PROPRANOLOL , INDEVER SR
PROPRANOLOL , PROPRANOL
BUTAMIRATE CITRATE , BUCOD 50 SR
BUTAMIRATE CITRATE , BUKOF SR
BUTAMIRATE CITRATE , COFNIX SR
BUTAMIRATE CITRATE , DECONIL
BUTAMIRATE CITRATE , MIRAKOF SR-TAB
BUTAMIRATE CITRATE , MIRAKOF SYP
BUTAMIRATE CITRATE , SINAKOF
BUTAMIRATE CITRATE , SINECOD
BISOPROLOL , ANCOR
BISOPROLOL , B-PROLOL
BISOPROLOL , BISLOL
BISOPROLOL , BISOLOC
BISOPROLOL , BISOPRO 2.5
BISOPROLOL , BISOPRO 5
BISOPROLOL , CONBIS
BISOPROLOL , CONCOR
BISOPROLOL , TENOBIS
PARACETAMOL + CAFFEINE , ACE PLUS
PARACETAMOL + CAFFEINE , ACEP Plus
PARACETAMOL + CAFFEINE , ACETA-X
PARACETAMOL + CAFFEINE , ACT Plus
PARACETAMOL + CAFFEINE , ARCHI Extra
PARACETAMOL + CAFFEINE , ASMOL Plus
PARACETAMOL + CAFFEINE , ATOPEN Plus
PARACETAMOL + CAFFEINE , BENALGIN Plus
PARACETAMOL + CAFFEINE , CAFEDON
PARACETAMOL + CAFFEINE , CAFENOL
PARACETAMOL + CAFFEINE , CAFFO
PARACETAMOL + CAFFEINE , CETADOL Plus
PARACETAMOL + CAFFEINE , CETAM Plus
PARACETAMOL + CAFFEINE , CLOFAMOL
PARACETAMOL + CAFFEINE , CPMOL Plus
PARACETAMOL + CAFFEINE , DC-Plus
PARACETAMOL + CAFFEINE , DOLA EXTRA
PARACETAMOL + CAFFEINE , DUAL
PARACETAMOL + CAFFEINE , DUET
PARACETAMOL + CAFFEINE , ENYL Plus
PARACETAMOL + CAFFEINE , FAP- Plus
PARACETAMOL + CAFFEINE , FAST PLUS
PARACETAMOL + CAFFEINE , FEA Plus
PARACETAMOL + CAFFEINE , FEVA Plus
PARACETAMOL + CAFFEINE , FEVREX Plus
PARACETAMOL + CAFFEINE , FIBI Plus
PARACETAMOL + CAFFEINE , GESIC Plus
PARACETAMOL + CAFFEINE , HEDEX
PARACETAMOL + CAFFEINE , HEPA-Pius
PARACETAMOL + CAFFEINE , INDOMOL Plus
PARACETAMOL + CAFFEINE , K-POL
PARACETAMOL + CAFFEINE , NAPA EXTRA
PARACETAMOL + CAFFEINE , NEOPARA Plus
PARACETAMOL + CAFFEINE , NOVA Plus
PARACETAMOL + CAFFEINE , ORPA Plus
PARACETAMOL + CAFFEINE , P+C
PARACETAMOL + CAFFEINE , PAC
PARACETAMOL + CAFFEINE , PACE
PARACETAMOL + CAFFEINE , PANADOL Extra
PARACETAMOL + CAFFEINE , PANALGIN Plus
PARACETAMOL + CAFFEINE , PARA CAF
PARACETAMOL + CAFFEINE , PARA FAST
PARACETAMOL + CAFFEINE , PARA-C
PARACETAMOL + CAFFEINE , PARACET Plus
PARACETAMOL + CAFFEINE , PARACIN
PARACETAMOL + CAFFEINE , PARAXIA Plus
PARACETAMOL + CAFFEINE , PAX
PARACETAMOL + CAFFEINE , PCAF
PARACETAMOL + CAFFEINE , PM Plus
PARACETAMOL + CAFFEINE , POL Plus
PARACETAMOL + CAFFEINE , PROMEL Plus
PARACETAMOL + CAFFEINE , PYRA Plus
PARACETAMOL + CAFFEINE , PYRENOL
PARACETAMOL + CAFFEINE , PYREX Plus
PARACETAMOL + CAFFEINE , REMALGIN Plus
PARACETAMOL + CAFFEINE , RENOVA Plus
PARACETAMOL + CAFFEINE , Reset Plus
PARACETAMOL + CAFFEINE , TA Plus
PARACETAMOL + CAFFEINE , TACS
PARACETAMOL + CAFFEINE , TAMEN-X
PARACETAMOL + CAFFEINE , TAMINO Plus
PARACETAMOL + CAFFEINE , TAMOL Plus
PARACETAMOL + CAFFEINE , TEMPOL Plus
PARACETAMOL + CAFFEINE , TEMRIF Plus
PARACETAMOL + CAFFEINE , TY- PLUS
PARACETAMOL + CAFFEINE , TYLEN Pius
PARACETAMOL + CAFFEINE , XPA-C
PARACETAMOL + CAFFEINE , ZERIN-XP
PARACETAMOL (ACETAMINOPHEN) , ACE
PARACETAMOL (ACETAMINOPHEN) , NAPA
PARACETAMOL (ACETAMINOPHEN) , ACEP
PARACETAMOL (ACETAMINOPHEN) , ACETOLOSARTAN
LOSARTAN , ANGILOCK 25
LOSARTAN , ANGILOCK 50
LOSARTAN , ANIN
LOSARTAN , ANREB
LOSARTAN , ARATEN
LOSARTAN , CARDISAN
LOSARTAN , CARDON
LOSARTAN , COZARIL
LOSARTAN , E-TAN
LOSARTAN , LARB
LOSARTAN , LK
LOSARTAN , LOK-50
LOSARTAN , LOPO
LOSARTAN , LOPOS
LOSARTAN , LOPOTEN
LOSARTAN , LOSA-25
LOSARTAN , LOSA-50
LOSARTAN , LOSACARD
LOSARTAN , LOSACOR
LOSARTAN , LOSACOR
LOSARTAN , LOSAN
LOSARTAN , LOSANIL
LOSARTAN , LOSAP
LOSARTAN , LOSAR
LOSARTAN , LOSARCAR
LOSARTAN , LOSARDIL
LOSARTAN , LOSARON
LOSARTAN , LOSARPEX
LOSARTAN , LOSART
LOSARTAN , LOSATAN
LOSARTAN , LOSIUM
LOSARTAN , LOSPIL
LOSARTAN , LOSPRE
LOSARTAN , LOSTAN
LOSARTAN , LOTAS
LOSARTAN , OSARTAN
LOSARTAN , OSARTEK
LOSARTAN , Osartil 100
LOSARTAN , Osartil 25
LOSARTAN , Osartil 50
LOSARTAN , OSTAN
LOSARTAN , PARTEN
LOSARTAN , PROSAN 25
LOSARTAN , PROSAN 50
LOSARTAN , RAKLOK
LOSARTAN , REPACE
LOSARTAN , ROSATAN
LOSARTAN , SARLO
LOSARTAN , TARAN
LOSARTAN , UniMed
LOSARTAN , VASOTAN
LOSARTAN , XELOTAN
AMLODIPINE WITH BENAZEPRIL , AMDOPRIL 10/20
AMLODIPINE WITH BENAZEPRIL , AMDOPRIL 2.5/10
AMLODIPINE WITH BENAZEPRIL , AMDOPRIL 5/10
AMLODIPINE WITH BENAZEPRIL , AMLOZEP-10
AMLODIPINE WITH BENAZEPRIL , AMOCAL-BZ 10/2.5
AMLODIPINE WITH BENAZEPRIL , AMOCAL-BZ 10/5
AMLODIPINE WITH BENAZEPRIL , AMOCAL-BZ 20/5
AMLODIPINE WITH BENAZEPRIL , BENADIP 10/2.5
AMLODIPINE WITH BENAZEPRIL , BENADIP 10/5
AMLODIPINE WITH BENAZEPRIL , BENADIP 20/10
AMLODIPINE WITH BENAZEPRIL , BENADIP 20/5
AMLODIPINE WITH BENAZEPRIL , CAMLOPRIL 42500
AMLODIPINE WITH BENAZEPRIL , LODIBEN 10/2.5
AMLODIPINE WITH BENAZEPRIL , LODIBEN 10/5
AMLODIPINE WITH BENAZEPRIL , LODIBEN 20/5
ATROPINE , ATROPINE
ATROPINE , ATROPINE
ATROPINE , ATROPINE
ATROPINE , ATROPINE-OSL Drop
ATROPINE , ATROPINE-OSL Ointment
ATROPINE , G-ATROPINE
ATROPINE , G-ATROPINE
ATROPINE , ITROPIN
ATROPINE , MYDRI-ATROPINE Drop
ATROPINE , MYDRI-ATROPINE Ointment
ATROPINE , MYDRIPINE Drop
ATROPINE , MYDRIPINE Ointment
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , ANGICARD
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , ANGIST SR
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , ANRIL 0.5
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , ANRIL INJ
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , ANRIL SPRAY
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , ANRIL SR-TAB
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , GTN 2.6 SR
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NIDOCARD Retard
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NIDOCARD Retard-6.4
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NIDOCARD Spray
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NITRIN SR
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NITRO-SR
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NITROCAP
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NITROCARD
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NITRODIL
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NITROMINT Retard
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NITROMINT Spray
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NITROSOL
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NITROVAS
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , NITROVAS SR
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , PACTORIN Retard
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , RECTOCARE OINT
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , Trocer SR 2.6
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , TROCER SR Capsule
NITROGLYCERIN / GLYCERYL TRINITRATE (GTN) , XYNOCARD SR
NORETHISTERONE , ETHINOR
NORETHISTERONE , MENORAL
NORETHISTERONE , NORCOLUT
NORETHISTERONE , NORMENS
NORETHISTERONE , Noteron
NORETHISTERONE , REMENS
AMBROXOL , AMDOPRIL 10/20
AMBROXOL , AMDOPRIL 2.5/10
AMBROXOL , AMDOPRIL 5/10
AMBROXOL , AMLOZEP-10
AMBROXOL , AMOCAL-BZ 10/2.5
AMBROXOL , AMOCAL-BZ 10/5
AMBROXOL , AMOCAL-BZ 20/5
AMBROXOL , BENADIP 10/2.5
AMBROXOL , BENADIP 10/5
AMBROXOL , BENADIP 20/10
AMBROXOL , BENADIP 20/5
AMBROXOL , CAMLOPRIL 42500
AMBROXOL , LODIBEN 10/2.5
AMBROXOL , LODIBEN 10/5
AMBROXOL , LODIBEN 20/5
PARACETAMOL + CAFFEINE , ACE PLUS
PARACETAMOL + CAFFEINE , ACEP Plus
PARACETAMOL + CAFFEINE , ACETA-X
PARACETAMOL + CAFFEINE , ACT Plus
PARACETAMOL + CAFFEINE , ARCHI Extra
PARACETAMOL + CAFFEINE , ASMOL Plus
PARACETAMOL + CAFFEINE , ATOPEN Plus
PARACETAMOL + CAFFEINE , BENALGIN Plus
PARACETAMOL + CAFFEINE , CAFEDON
PARACETAMOL + CAFFEINE , CAFENOL
PARACETAMOL + CAFFEINE , CAFFO
PARACETAMOL + CAFFEINE , CETADOL Plus
PARACETAMOL + CAFFEINE , CETAM Plus
PARACETAMOL + CAFFEINE , CLOFAMOL
PARACETAMOL + CAFFEINE , CPMOL Plus
PARACETAMOL + CAFFEINE , DC-Plus
PARACETAMOL + CAFFEINE , DOLA EXTRA
PARACETAMOL + CAFFEINE , DUAL
PARACETAMOL + CAFFEINE , DUET
PARACETAMOL + CAFFEINE , ENYL Plus
PARACETAMOL + CAFFEINE , FAP- Plus
PARACETAMOL + CAFFEINE , FAST PLUS
PARACETAMOL + CAFFEINE , FEA Plus
PARACETAMOL + CAFFEINE , FEVA Plus
PARACETAMOL + CAFFEINE , FEVREX Plus
PARACETAMOL + CAFFEINE , FIBI Plus
PARACETAMOL + CAFFEINE , GESIC Plus
PARACETAMOL + CAFFEINE , HEDEX
PARACETAMOL + CAFFEINE , HEPA-Pius
PARACETAMOL + CAFFEINE , INDOMOL Plus
PARACETAMOL + CAFFEINE , K-POL
PARACETAMOL + CAFFEINE , NAPA EXTRA
PARACETAMOL + CAFFEINE , NEOPARA Plus
PARACETAMOL + CAFFEINE , NOVA Plus
PARACETAMOL + CAFFEINE , ORPA Plus
PARACETAMOL + CAFFEINE , P+C
PARACETAMOL + CAFFEINE , PAC
PARACETAMOL + CAFFEINE , PACE
PARACETAMOL + CAFFEINE , PANADOL Extra
PARACETAMOL + CAFFEINE , PANALGIN Plus
PARACETAMOL + CAFFEINE , PARA CAF
PARACETAMOL + CAFFEINE , PARA FAST
PARACETAMOL + CAFFEINE , PARA-C
PARACETAMOL + CAFFEINE , PARACET Plus
PARACETAMOL + CAFFEINE , PARACIN
PARACETAMOL + CAFFEINE , PARAXIA Plus
PARACETAMOL + CAFFEINE , PAX
PARACETAMOL + CAFFEINE , PCAF
PARACETAMOL + CAFFEINE , PM Plus
PARACETAMOL + CAFFEINE , POL Plus
PARACETAMOL + CAFFEINE , PROMEL Plus
PARACETAMOL + CAFFEINE , PYRA Plus
PARACETAMOL + CAFFEINE , PYRENOL
PARACETAMOL + CAFFEINE , PYREX Plus
PARACETAMOL + CAFFEINE , REMALGIN Plus
PARACETAMOL + CAFFEINE , RENOVA Plus
PARACETAMOL + CAFFEINE , Reset Plus
PARACETAMOL + CAFFEINE , TA Plus
PARACETAMOL + CAFFEINE , TACS
PARACETAMOL + CAFFEINE , TAMEN-X
PARACETAMOL + CAFFEINE , TAMINO Plus
PARACETAMOL + CAFFEINE , TAMOL Plus
PARACETAMOL + CAFFEINE , TEMPOL Plus
PARACETAMOL + CAFFEINE , TEMRIF Plus
PARACETAMOL + CAFFEINE , TY- PLUS
PARACETAMOL + CAFFEINE , TYLEN Pius
PARACETAMOL + CAFFEINE , XPA-C
PARACETAMOL + CAFFEINE , ZERIN-XP
